film_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
18334,Shalako (film),1968.0,5.0,2.0,10.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5,4,5.0,4,1,1.5,2
18335,100 Days Before the Command,1990.0,3.0,6.0,5.0,5.0,2.0,1.0,5.0,3.0,2.0,5.0,6.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,5.0,2.0,2.0,6.0,6.0,2.0,2.0,4.0,5.0,1.0,1,2,1.0,5,4,4.0,1
18336,Jait Re Jait,1977.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0,6.0,4.0,1.0,1.0,3.0,3.0,5.0,6.0,3.0,3.0,5.0,3.0,4.0,6.0,6.0,3.0,5.0,4.0,6.0,4.0,4,5,6.0,4,1,1.5,3
18337,The Giant Claw,1957.0,2.0,3.0,5.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,5,2,2.0,5,1,1.5,3
18338,The Land Unknown,1957.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,5,3,5.0,5,1,1.5,2
18339,Veneno para las hadas,1986.0,5.0,2.0,5.0,5.0,1.0,3.0,6.0,5.0,4.0,6.0,3.0,4.0,1.0,3.0,3.0,5.0,6.0,3.0,5.0,5.0,3.0,4.0,6.0,6.0,4.0,5.0,4.0,5.0,4.0,4,5,6.0,4,1,1.0,3
18340,El Libro de piedra,1969.0,5.0,3.0,10.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,6.0,6.0,3.0,5.0,4.0,5.0,3.0,5,4,5.0,4,2,2.0,3
18341,Stop-Loss (film),2008.0,6.0,3.0,10.0,5.0,4.0,2.0,6.0,6.0,6.0,5.0,6.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5,5,6.0,4,1,2.0,3
18342,Battle in Seattle,2007.0,4.0,6.0,15.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5,2,3.0,4,1,1.5,2
18343,The Secret Life of Walter Mitty (1947 film),1947.0,4.0,1.0,8.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4,5,6.0,4,2,2.0,3
18344,Riders of Destiny,1933.0,4.0,1.0,10.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5,3,5.0,4,1,1.0,3
18345,Beauty (2009 film),2009.0,5.0,2.0,5.0,4.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,5.0,4.0,4,4,6.0,3,4,3.5,2
18346,5 de chocolate y 1 de fresa,1968.0,3.0,5.0,10.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5,4,6.0,5,2,2.0,3
18347,Thunder on the Hill,1951.0,5.0,2.0,6.0,3.0,5.0,4.0,6.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,7.0,3.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,5.0,5.0,5,5,5.0,4,1,2.0,3
18348,The Seeker (film),2007.0,3.0,1.0,10.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,6.0,2.0,3.0,3.0,4.0,3.0,3.0,7.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5,4,5.0,4,2,2.5,3
18349,Three Girls Lost,1931.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,4,4,4.0,3,1,1.5,2
18350,War of the Dead,2011.0,3.0,4.0,10.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,5,2,3.0,5,1,2.0,2
18351,The Little Matchgirl (2006 film),2006.0,5.0,1.0,2.0,5.0,5.0,1.0,7.0,7.0,7.0,7.0,5.0,5.0,1.0,2.0,2.0,5.0,7.0,3.0,3.0,5.0,6.0,5.0,7.0,6.0,2.0,3.0,5.0,7.0,1.0,2,5,5.0,4,4,2.5,3
18352,Peculiar Attraction,1988.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,2.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,4,3,4.0,3,1,1.0,1
18353,Nagin (1954 film),1954.0,4.0,2.0,10.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,6.0,5.0,3.0,5.0,3.0,6.0,4.0,4,4,5.0,3,1,1.5,2
18354,The Prowler (1981 film),1981.0,3.0,2.0,10.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,6.0,3.0,3.0,2.0,5.0,6.0,2.0,3.0,2.0,5.0,4.0,5,2,3.0,5,1,2.0,3
18355,Scissors (film),1991.0,3.0,2.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,7.0,5.0,2.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,5,4,5.0,5,4,3.5,3
18356,Häpy Endkö? Eli kuinka Uuno Turhapuro sai niin kauniin ja rikkaan vaimon,1977.0,3.0,1.0,10.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,5.0,4.0,4,2,3.0,2,1,1.0,2
18357,Sultanat,1986.0,4.0,3.0,10.0,5.0,3.0,4.0,5.0,6.0,5.0,6.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5,5,6.0,5,4,2.5,3
18358,The Fighting Lady,1944.0,5.0,1.0,5.0,1.0,3.0,4.0,5.0,3.0,3.0,5.0,6.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,2.0,4,1,1.0,2,1,1.5,2
18359,You and I (2008 film),2008.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,4,4,5.0,2,1,1.0,2
18360,Parzania,2005.0,6.0,3.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,4.0,4,5,6.0,4,1,1.5,2
18361,The Rounders (1914 film),1914.0,3.0,2.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,6.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,5,2,1.0,4,1,1.0,3
18362,Justine (1969 film),1969.0,5.0,3.0,10.0,2.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,2.0,4,2,3.0,3,1,1.5,1
18363,The Jet Cage,1962.0,3.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,2.0,6.0,3.0,5.0,6.0,4.0,5.0,3.0,5.0,1.0,5,4,2.0,2,1,1.0,2
18364,964 Pinocchio,1991.0,2.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,3.0,7.0,1.0,1.0,7.0,7.0,2.0,2.0,2.0,2.0,3.0,5,5,6.0,5,4,3.5,3
18365,I Was Monty's Double (film),1958.0,6.0,2.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,7.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,3.0,5.0,4.0,5,4,5.0,3,1,1.0,3
18366,The Iceman Cometh (1973 film),1973.0,6.0,6.0,20.0,5.0,2.0,2.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,1.0,2,5,2.0,3,1,1.0,3
18367,Lottovoittaja UKK Turhapuro,1976.0,3.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,2.0,4,2,2.0,2,1,1.5,3
18368,First Love (1970 film),1970.0,5.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,2.0,4,4,3.0,3,1,2.0,3
18369,Professori Uuno D.G. Turhapuro,1975.0,4.0,1.0,10.0,2.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,6.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0,1.0,3,2,3.0,1,1,1.0,2
18370,The Good Girl (2004 film),2004.0,5.0,1.0,10.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,3,5,6.0,5,1,1.0,2
18371,The Buccaneer (1938 film),1938.0,4.0,3.0,10.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5,4,5.0,4,1,1.5,3
18372,Priceless (2006 film),2006.0,5.0,2.0,10.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,7.0,3.0,6.0,4.0,6.0,6.0,4.0,5.0,3.0,5.0,4.0,5,5,5.0,3,2,2.0,3
18373,El bonaerense,2002.0,6.0,1.0,5.0,5.0,2.0,3.0,6.0,5.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,6.0,6.0,3.0,3.0,5.0,4.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,3.0,4,4,5.0,4,1,1.5,3
18374,The Gap (film),2006.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,4,3,3.0,3,1,1.0,2
18375,True Identity,1991.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4,3,4.0,4,1,1.5,2
18376,In the Shadow of the Raven,1988.0,4.0,2.0,10.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,4.0,2.0,1.0,4.0,3.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,3.0,5.0,3.0,5,4,5.0,5,4,3.5,3
18377,A Lucky Day,2002.0,5.0,1.0,5.0,5.0,4.0,2.0,5.0,6.0,6.0,5.0,5.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,3,4,5.0,2,1,1.5,2
18378,Finian's Rainbow (1968 film),1968.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,4.0,7.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5,4,5.0,3,1,2.0,3
18379,The Flirtation of Girls,1949.0,5.0,2.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,7.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,4,4,5.0,2,1,1.5,3
18380,Dance Party USA (film),2006.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,3.0,3.0,6.0,5.0,3.0,5.0,4.0,5.0,1.0,2,5,5.0,5,1,1.0,1
18381,Lassiter (film),1984.0,4.0,1.0,10.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,4.0,5,3,3.0,4,1,1.5,3
18382,40 Carats (film),1973.0,3.0,2.0,8.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,4,4,5.0,3,1,1.5,3
18383,Slaughter Studios,2002.0,3.0,2.0,20.0,1.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,5,3,3.0,4,1,1.5,3
18384,You Don't Mess with the Zohan,2008.0,2.0,2.0,20.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,7.0,2.0,5.0,2.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5,4,5.0,3,1,1.5,3
18385,Criminal (1994 film),1994.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5,5,6.0,4,1,1.5,3
18386,Snehamante Idera,2001.0,4.0,3.0,10.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,7.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4,4,5.0,3,2,2.5,3
18387,Demon Island,2002.0,2.0,4.0,10.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,1.0,3.0,2.0,4.0,5.0,3.0,6.0,4.0,3.0,2.0,5.0,6.0,2.0,3.0,1.0,3.0,2.0,5,1,1.0,4,1,2.5,3
18388,Akasa Veedhilo,2001.0,3.0,2.0,10.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,7.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5,3,5.0,4,1,2.0,3
18389,Lakshmi Kalyanam (2007 film),2007.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4,3,3.0,4,1,1.0,2
18390,Balkan Spy,1984.0,5.0,3.0,10.0,5.0,2.0,2.0,6.0,5.0,4.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5,5,5.0,4,1,1.5,3
18391,Uuno Turhapuro – Suomen tasavallan herra presidentti,1992.0,2.0,1.0,10.0,1.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,2.0,5.0,3.0,5,2,3.0,1,1,1.0,2
18392,Uuno Turhapuro – kaksoisagentti,1987.0,3.0,3.0,5.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0,2.0,4,2,2.0,2,1,1.5,2
18393,Day the World Ended,1955.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5,4,4.0,4,1,1.5,3
18394,Todas las azafatas van al cielo,2002.0,5.0,2.0,10.0,3.0,4.0,3.0,6.0,6.0,6.0,6.0,5.0,1.0,1.0,3.0,3.0,5.0,6.0,2.0,6.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,4.0,6.0,4.0,4,5,5.0,5,2,1.5,3
18395,This Revolution,2005.0,5.0,3.0,5.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,1.0,2.0,1.0,3.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,5.0,5.0,5,4,6.0,4,1,1.5,3
18396,The Intruder (1962 film),1962.0,4.0,1.0,10.0,5.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,6.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,5.0,5.0,5.0,5,4,1.0,5,1,1.0,3
18397,Camp Slaughter,2005.0,3.0,2.0,10.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,5,2,4.0,4,4,4.0,3
18398,Alice in Wonderland (2005 film),2005.0,3.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,2.0,3,4,5.0,1,1,1.5,2
18399,Prajapathi,2006.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4,4,5.0,4,1,1.5,3
18400,Kannamoochi Yenada,2007.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4,4,4.0,2,1,1.5,2
18401,Thoda Tum Badlo Thoda Hum,2004.0,4.0,2.0,5.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,7.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4,4,5.0,3,1,1.0,3
18402,Shukriya: Till Death Do Us Apart,2004.0,3.0,2.0,10.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4,4,5.0,4,1,2.0,3
18403,Pallikoodam (film),2007.0,5.0,3.0,10.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,6.0,4.0,5,5,5.0,2,4,2.5,3
18404,The Kite Runner (film),2007.0,5.0,2.0,10.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,7.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,6.0,4.0,4,5,7.0,5,4,2.0,3
18405,In Old Santa Fe,1934.0,4.0,3.0,6.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5,4,5.0,4,1,1.5,3
18406,French Twist (film),1995.0,5.0,3.0,5.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,4,4,5.0,3,1,1.5,2
18407,Atrapadas,1984.0,5.0,1.0,10.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,4.0,5.0,5.0,5,4,6.0,5,1,1.5,3
18408,"Weather Is Good on Deribasovskaya, It Rains Again on Brighton Beach",1992.0,5.0,2.0,10.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,1.0,1.0,3.0,5.0,6.0,6.0,3.0,6.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5,3,3.0,4,2,1.5,3
18409,The Beast of Hollow Mountain,1956.0,3.0,3.0,10.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5,3,4.0,4,1,1.5,3
18411,I Even Met Happy Gypsies,1967.0,5.0,2.0,10.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4,4,4.0,4,1,1.5,2
18412,Wasabi Tuna,2003.0,2.0,5.0,20.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,4.0,7.0,3.0,3.0,2.0,5.0,6.0,3.0,5.0,1.0,5.0,3.0,5,1,2.0,3,1,1.5,3
18413,The Smurfs and the Magic Flute,1975.0,3.0,3.0,10.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,6.0,1.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,5,2,3.0,3,1,1.0,2
18414,It Rains in My Village,1968.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,5.0,2.0,5,4,3.0,3,1,3.5,3
18415,The Day of the Jackal (film),1973.0,6.0,2.0,20.0,1.0,1.0,4.0,6.0,3.0,2.0,6.0,5.0,1.0,1.0,2.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0,7.0,6.0,4.0,5.0,4.0,6.0,5.0,5,2,1.0,4,1,1.5,3
18416,Real Men (film),1987.0,3.0,2.0,10.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,5,4,6.0,4,1,1.5,3
18417,Young Soul Rebels,1991.0,5.0,4.0,10.0,5.0,3.0,3.0,6.0,6.0,5.0,6.0,5.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,6.0,5.0,3.0,5.0,6.0,6.0,4.0,6.0,4.0,6.0,3.0,5,5,5.0,5,4,3.5,3
18418,Decoys 2: Alien Seduction,2007.0,3.0,3.0,12.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,5,3,3.0,5,1,1.5,3
