tv_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
1522,Wink of an Eye,1958.0,5,2,10,1,5,4,5,6,5,5,3,7,6,5,3,5.0,6,4,7,5,5,5,6,6,4,5,3,5,4,4,4,3,4,1,2.0,3
1524,Hotelier (South Korean TV series),2001.0,5,5,20,3,4,4,5,5,5,5,4,1,1,3,3,5.0,5,3,7,4,3,4,5,5,4,5,4,5,4,5,5,6,5,1,2.0,2
1525,Ollie Hopnoodle's Haven of Bliss,1988.0,5,3,20,3,5,3,6,5,6,5,5,1,1,5,5,6.0,6,3,5,3,5,5,6,5,4,5,3,5,4,4,5,3,3,1,1.5,2
1526,A Charlie Brown Thanksgiving,1973.0,5,4,6,2,4,2,5,5,5,6,5,1,1,3,3,5.0,5,3,6,3,5,5,5,5,4,5,4,5,3,4,4,3,2,1,1.5,1
1527,The Silence (The Twilight Zone),2025.0,5,2,5,2,2,2,6,5,5,5,3,1,1,3,2,5.0,5,3,1,6,5,5,6,6,4,6,4,5,3,5,5,6,5,1,1.5,3
1528,Glass Slippers,2021.0,5,2,25,5,5,2,6,7,5,5,3,1,1,3,5,5.0,5,3,7,5,3,3,6,5,4,5,5,5,4,5,5,6,5,4,2.0,3
1529,Life as We Know It (TV series),2022.0,5,3,8,3,3,3,5,4,5,5,5,1,1,2,2,5.0,5,3,3,4,5,5,5,6,3,5,3,5,3,3,4,4,3,2,1.5,1
1530,Young Americans (TV series),2022.0,5,4,10,5,5,4,6,6,6,5,5,1,1,4,2,5.0,5,3,4,4,4,5,5,5,4,5,4,5,4,4,5,6,4,2,3.0,2
1531,Papa (TV series),1996.0,5,3,10,3,3,3,5,5,5,5,5,1,1,2,3,4.0,4,3,3,4,4,5,5,5,3,5,3,5,2,2,5,4,2,4,3.5,1
1533,Cinderella (Rodgers and Hammerstein musical),1957.0,5,1,10,5,5,3,6,6,6,5,3,6,2,4,3,5.0,6,4,3,2,6,5,6,5,4,6,4,7,3,4,4,5,3,1,1.0,3
1534,Mann &amp; Machine,2019.0,4,2,3,3,4,3,5,4,4,4,3,5,6,4,2,4.0,4,3,2,3,5,3,4,4,3,4,2,3,3,3,4,6,2,1,1.0,1
1535,13th (TV series),2025.0,5,2,10,3,4,4,6,5,6,6,6,1,1,2,2,4.0,5,3,5,3,6,5,5,5,4,5,4,5,4,2,4,5,2,2,1.5,1
1536,Mina (TV series),2001.0,5,3,15,3,3,3,5,6,5,5,3,1,1,3,3,4.0,5,3,3,5,5,4,6,5,3,5,4,5,3,5,4,6,5,1,2.5,3
1537,He's Alive,2025.0,5,2,5,5,1,2,5,2,2,5,3,2,1,4,3,5.0,5,3,1,6,3,5,6,6,4,5,4,5,3,5,5,5,5,1,2.0,3
1538,The Bard (The Twilight Zone),2025.0,5,2,10,1,3,3,5,5,5,6,3,5,5,4,3,5.0,6,3,5,5,5,5,6,6,4,5,3,5,4,5,4,5,4,1,1.5,1
1539,The Julekalender (Norwegian TV series),2024.0,3,4,10,1,3,3,4,5,3,5,2,7,2,5,3,5.0,6,3,3,5,3,3,6,5,4,5,3,5,5,5,2,3,5,1,1.0,1
1540,Shoebox Zoo,2004.0,5,1,25,3,4,4,5,6,5,5,2,7,5,5,5,6.0,6,3,5,5,3,4,6,5,3,5,4,5,5,5,5,6,5,4,2.0,3
1541,The Last Night of a Jockey,2025.0,5,2,2,3,2,1,6,5,5,7,3,5,3,3,2,4.0,5,3,1,5,4,4,6,5,4,6,4,5,2,2,5,6,5,1,1.5,3
1542,The Weird Al Show,2020.0,3,2,10,1,5,3,3,5,3,5,2,3,1,2,3,4.0,5,3,5,3,6,2,5,5,4,5,2,5,2,2,1,1,1,1,1.0,1
1543,Complete Savages,2012.0,5,1,10,3,4,3,5,5,5,5,4,1,1,2,2,4.0,4,3,4,3,6,4,4,4,3,5,3,5,3,4,4,4,2,1,1.0,1
1544,Number 12 Looks Just Like You,2025.0,5,1,10,5,5,2,6,6,6,5,3,5,7,5,3,5.0,6,3,1,5,3,5,6,6,4,5,4,5,4,5,5,6,5,1,1.5,3
1545,TV Funhouse,2025.0,3,1,20,1,3,2,1,1,3,4,2,2,1,2,2,4.0,4,4,3,3,5,2,5,5,3,5,2,5,2,2,1,1,1,1,1.0,1
1546,The Parallel,2025.0,5,1,5,3,4,4,5,6,5,5,5,6,6,5,3,5.0,6,3,6,5,5,5,6,5,4,6,4,6,4,5,4,5,5,4,3.0,3
1547,Pip (South Park),2025.0,3,5,6,3,5,4,5,5,5,5,2,7,5,5,4,5.0,6,4,7,6,3,4,6,6,4,5,3,5,5,5,5,6,5,2,2.0,3
1548,A Short Drink from a Certain Fountain,2025.0,5,3,3,3,3,2,5,5,5,5,3,5,5,4,3,5.0,5,3,5,5,5,4,6,5,4,6,4,5,4,4,4,5,5,1,1.5,3
1549,The Brain Center at Whipple's,2025.0,5,2,5,3,2,1,5,5,5,5,5,1,5,5,3,5.0,5,3,5,5,3,5,5,5,3,5,4,5,1,5,4,6,4,1,1.5,3
1550,Uncle Simon,2025.0,5,2,3,3,2,2,5,4,2,5,3,5,5,3,2,5.0,5,3,3,5,5,3,5,5,3,5,3,5,2,5,5,5,5,1,1.0,3
1551,Night Call (The Twilight Zone),2025.0,5,1,3,3,4,2,6,6,5,5,4,5,3,3,3,5.0,6,3,1,5,5,5,7,6,4,6,4,6,2,4,5,5,5,1,2.0,3
1552,Merlin (miniseries),1998.0,5,1,20,5,4,4,5,6,5,6,3,7,5,5,5,6.0,6,4,5,5,3,5,6,6,4,6,4,5,4,5,5,6,5,4,2.5,3
1554,Pink Panther and Sons,1984.0,5,6,5,2,3,3,4,3,4,4,2,3,1,3,3,4.0,5,3,5,2,6,3,5,5,3,5,2,5,2,3,2,3,1,1,1.0,1
1555,'Twas the Night Before Christmas (1974 TV special),1974.0,5,3,5,1,4,4,4,5,5,5,3,5,1,3,3,4.0,5,3,7,2,7,5,5,5,3,5,3,5,4,4,3,4,2,1,1.5,2
1556,Westside (New Zealand TV series),2015.0,6,2,20,3,4,3,6,5,5,6,6,1,1,5,3,6.0,6,3,5,5,5,6,6,6,4,6,4,5,4,5,4,5,3,1,1.5,2
1557,VR.5,2023.0,5,1,15,3,4,4,5,5,5,5,4,5,5,5,3,5.0,5,3,3,5,3,4,6,6,4,5,3,5,4,4,4,5,4,4,3.0,1
1558,Dweebs (TV series),2025.0,5,3,10,3,3,2,5,3,5,5,5,2,2,3,2,4.0,4,3,3,3,5,4,4,4,3,5,2,5,2,2,3,3,1,1,1.0,1
1559,First Daughter (1999 film),1999.0,5,3,5,3,3,3,5,5,5,4,4,1,1,3,3,4.0,4,3,5,4,5,4,5,4,3,5,3,5,4,5,3,4,5,1,1.5,3
1560,Hunter (1984 American TV series),1984.0,5,3,20,3,4,4,5,5,4,5,5,1,1,3,2,5.0,5,4,5,3,6,5,5,4,3,5,2,5,5,4,4,5,2,1,1.5,1
1561,Requiem for Methuselah,2025.0,5,3,5,1,4,4,5,5,5,6,2,7,6,5,3,6.0,6,3,5,5,5,4,6,5,4,5,4,5,4,5,5,5,5,1,2.0,3
1562,True Women,1997.0,5,3,20,5,5,4,6,6,6,5,5,1,1,5,5,6.0,5,3,3,3,3,5,6,5,4,5,4,5,5,5,5,6,5,1,2.0,3
1564,Far Out Space Nuts,1975.0,3,2,5,1,3,2,2,3,2,4,2,7,5,5,4,4.0,5,3,3,2,5,2,5,5,3,4,1,5,1,5,1,1,3,1,1.0,1
1565,Electra Woman and Dyna Girl,1976.0,3,2,3,1,4,3,3,3,3,4,2,5,5,4,3,4.0,5,3,5,2,6,2,5,5,3,4,1,5,5,5,1,2,2,1,1.0,1
1566,All In (TV series),2003.0,4,3,10,3,4,3,5,6,5,5,3,2,1,3,5,5.0,5,3,5,5,4,4,6,5,4,5,4,6,4,5,5,6,5,1,2.0,3
1567,The Lost Saucer,2025.0,3,4,5,1,3,1,2,3,3,4,2,6,6,5,4,5.0,5,3,3,3,4,2,4,5,3,5,1,5,2,5,2,2,3,4,2.5,1
1568,Four O'Clock (The Twilight Zone),2025.0,5,1,5,1,1,1,5,2,1,5,2,5,5,4,2,5.0,6,3,7,6,3,4,6,6,4,5,4,5,5,5,5,1,5,1,1.0,3
1569,Steel (The Twilight Zone),2025.0,5,2,5,3,4,2,5,6,5,5,4,4,5,5,3,5.0,5,3,5,3,5,5,6,5,4,5,4,5,5,5,4,5,4,1,1.0,2
1570,Turnabout Intruder,2025.0,5,3,20,5,2,3,5,3,4,4,3,7,6,3,3,5.0,5,3,5,5,3,3,5,5,3,5,2,5,2,5,4,3,5,1,1.5,3
1571,All Our Yesterdays (Star Trek: The Original Series),2025.0,5,3,5,1,4,4,5,5,5,5,3,6,6,5,4,5.0,6,4,7,5,5,5,6,5,4,5,4,5,4,5,4,3,4,4,2.0,2
1572,The Savage Curtain,2025.0,4,4,10,3,5,4,5,5,5,5,2,7,6,5,2,6.0,6,3,5,5,4,3,6,5,4,5,3,5,5,5,4,5,5,1,1.5,2
1573,The Way to Eden,2025.0,5,6,6,3,2,3,5,4,4,4,3,5,6,4,3,5.0,5,3,5,4,5,4,5,5,3,5,3,5,3,4,4,4,4,1,1.5,2
1574,The Cloud Minders,2025.0,5,3,5,5,5,4,5,5,5,5,3,5,6,5,3,5.0,6,3,5,3,5,5,6,5,4,6,3,5,5,5,4,5,4,1,1.0,2
1575,The Lights of Zetar,2025.0,5,4,5,3,4,4,5,5,5,5,2,6,6,4,3,5.0,5,3,7,3,5,4,6,5,4,5,3,5,4,5,4,4,4,1,1.0,2
1576,The Mark of Gideon,2025.0,5,3,5,3,4,3,5,5,5,5,3,5,6,5,3,5.0,5,3,6,5,3,5,6,5,4,5,4,5,4,5,4,5,4,2,2.0,2
1577,Whom Gods Destroy (Star Trek: The Original Series),2025.0,5,3,5,3,4,4,5,5,4,5,3,6,6,4,2,5.0,5,3,7,5,5,5,6,5,4,5,3,5,4,5,4,1,5,1,1.5,3
1578,Let That Be Your Last Battlefield,2025.0,5,2,4,5,3,3,6,5,5,6,5,7,6,5,3,5.0,6,3,3,5,3,5,7,7,4,6,4,5,3,5,4,5,5,1,1.5,3
1579,That Which Survives,2025.0,5,5,10,1,4,4,5,5,4,5,3,7,6,4,3,5.0,6,3,7,5,5,5,6,5,4,6,3,5,4,5,3,3,5,1,1.5,2
1580,Kick the Can,2025.0,5,2,5,3,5,3,6,5,5,6,3,5,2,3,2,5.0,5,3,3,5,5,5,6,5,4,5,4,6,4,4,4,5,4,1,1.5,3
1581,A Night in Sickbay,2025.0,5,3,5,2,4,3,5,5,5,5,3,5,5,3,3,5.0,5,3,7,4,5,4,5,5,4,5,4,5,4,3,5,5,2,2,2.0,2
1584,The Changing of the Guard (The Twilight Zone),2025.0,6,2,7,5,5,5,6,7,6,7,5,2,1,3,2,5.0,5,3,7,5,6,6,6,5,4,6,5,6,3,4,5,6,4,2,1.5,3
1585,Lidsville,1971.0,3,2,10,1,3,3,2,3,3,4,2,7,6,5,3,5.0,5,3,1,3,3,2,5,5,3,5,1,5,4,5,3,2,3,1,1.5,1
1586,The Jeopardy Room,2025.0,5,1,3,3,4,4,6,6,5,5,3,1,1,3,3,5.0,5,4,7,5,5,5,6,5,4,5,4,5,4,5,5,5,5,1,1.5,3
1587,I Am the Night—Color Me Black,2025.0,5,4,10,5,4,2,6,5,5,6,3,5,2,5,6,5.0,6,2,3,6,3,5,7,6,4,6,5,5,2,5,5,5,5,1,1.5,3
1588,Caesar and Me,2025.0,5,3,5,3,2,1,5,5,5,5,4,3,1,4,3,5.0,5,3,3,5,3,3,6,5,4,5,4,5,2,5,5,5,5,1,1.5,3
1589,In Praise of Pip,2025.0,5,2,5,3,5,3,6,7,6,6,3,2,1,3,3,5.0,5,3,6,5,5,5,6,5,4,5,4,5,4,5,5,6,5,2,2.5,3
1590,The Librarian: Quest for the Spear,2004.0,5,2,20,1,4,4,5,5,5,5,3,7,5,5,5,5.0,6,4,6,5,5,3,5,5,4,5,2,5,4,5,4,5,5,2,1.5,3
1591,The Bewitchin' Pool,2025.0,5,2,5,5,5,4,5,6,6,6,3,5,3,5,2,6.0,6,3,7,5,5,4,6,5,3,5,4,5,4,5,5,5,4,1,1.5,3
1592,"Probe 7, Over and Out",2025.0,5,2,3,5,5,4,6,6,5,6,5,5,5,5,2,5.0,6,3,7,5,5,5,6,6,4,5,4,5,4,5,4,6,5,1,1.5,3
1593,Killer Wave,2025.0,4,2,15,3,3,3,5,5,5,4,3,2,5,4,3,5.0,5,4,3,5,3,3,5,5,3,5,3,5,4,5,2,3,5,1,1.5,2
1594,Rolie Polie Olie,2021.0,3,5,10,1,5,3,4,4,4,5,1,7,7,5,3,6.0,7,3,7,1,7,3,5,6,3,5,2,5,3,2,2,4,1,1,1.0,1
1595,Square Pegs,1982.0,6,3,20,3,4,3,6,5,6,6,6,1,1,4,2,5.0,5,3,3,3,6,6,5,5,4,6,3,5,3,2,4,4,2,1,1.0,1
1596,Police Cadet '84,1984.0,5,3,10,3,3,3,5,5,5,5,5,1,1,2,3,4.0,5,3,3,3,6,5,5,4,3,5,3,5,4,3,4,5,2,1,1.0,2
1597,"Mary Hartman, Mary Hartman",1976.0,5,1,20,3,2,2,5,4,5,6,3,5,1,4,3,5.0,6,3,3,6,3,2,6,5,4,6,3,5,2,4,5,5,5,4,3.5,3
1598,Piece of Cake (TV series),1988.0,6,4,25,3,3,3,6,5,4,5,6,1,1,5,2,6.0,6,3,5,5,5,5,6,5,4,5,4,5,3,5,4,5,4,1,1.5,3
1599,The 7th Is Made Up of Phantoms,2025.0,5,3,5,1,3,2,5,5,5,5,3,5,5,4,3,6.0,6,3,3,5,3,5,6,6,3,5,4,5,4,5,3,3,5,4,3.5,3
1600,The Professionals (TV series),1977.0,5,3,20,1,4,5,5,5,5,5,4,1,1,4,3,5.0,5,4,5,4,5,4,5,5,4,5,2,5,5,5,4,3,3,1,1.0,1
1602,Five Characters in Search of an Exit,2025.0,5,5,5,1,4,4,5,5,5,6,2,6,5,5,1,5.0,6,3,1,7,3,3,7,6,4,6,4,6,5,4,5,5,5,1,2.0,3
1603,The Liver Birds,1969.0,5,2,20,3,4,3,6,5,6,5,5,1,1,2,2,5.0,5,3,5,3,6,5,5,5,4,5,3,5,3,2,4,3,1,1,1.0,1
1604,Murder One (TV series),2008.0,6,3,20,1,3,5,6,5,4,5,5,1,1,4,2,5.0,5,3,4,5,4,5,5,5,4,5,3,5,5,5,4,5,5,1,1.5,2
1605,Amor de Tarapaca,2004.0,5,3,10,3,3,3,5,6,5,5,4,1,1,2,4,4.0,5,3,3,5,3,5,5,5,4,5,4,5,4,4,5,5,3,4,2.5,2
1606,The Herculoids,2025.0,3,5,10,1,3,4,3,3,2,4,2,7,6,5,2,5.0,5,3,4,3,6,2,5,5,3,3,1,5,4,5,1,1,2,1,1.0,1
1608,Strong Medicine,2022.0,5,4,10,5,5,4,6,5,6,6,5,1,1,3,2,5.0,5,3,5,4,5,5,5,5,4,5,4,5,4,3,5,5,2,1,1.5,1
1609,Power Play (Star Trek: The Next Generation),2025.0,5,3,20,1,3,4,5,5,5,5,3,6,6,5,3,5.0,6,3,7,5,5,5,6,5,4,6,4,6,4,5,4,3,5,1,1.5,3
1610,A Kind of a Stopwatch,2025.0,5,1,3,1,1,1,3,2,2,5,3,5,4,3,3,4.0,5,3,2,5,5,3,5,5,3,5,3,5,2,4,4,3,4,1,1.0,3
1611,Living Doll (The Twilight Zone),2025.0,5,3,3,3,3,2,5,5,5,6,2,5,5,4,3,5.0,6,3,6,5,5,5,7,6,4,6,4,6,2,5,4,3,5,1,1.5,3
1612,Justice (Star Trek: The Next Generation),2025.0,5,4,10,3,5,4,5,6,5,5,4,5,6,5,2,6.0,6,3,5,3,5,5,6,6,4,6,4,5,4,5,4,5,4,1,1.5,2
1613,The Battle (Star Trek: The Next Generation),2025.0,5,1,20,3,5,4,6,6,5,6,5,5,7,5,3,5.0,6,3,7,5,5,5,6,5,4,5,4,5,4,5,5,5,4,2,2.5,2
1614,Nanny and the Professor,2025.0,5,5,5,1,4,4,5,5,5,5,3,4,4,4,2,5.0,5,3,3,3,5,4,5,5,3,5,2,5,4,3,3,3,3,1,1.0,1
1615,Yesterday's Enterprise,2025.0,6,3,10,3,4,4,6,6,5,6,4,6,6,5,3,6.0,6,4,6,5,5,6,6,6,4,6,5,7,4,5,4,5,5,4,2.5,3
1616,The Flumps,1977.0,3,1,10,1,3,2,2,2,3,3,2,3,1,2,1,3.0,4,3,1,1,6,4,5,5,3,3,1,5,1,2,1,1,1,1,1.0,1
1617,Boy &amp; Girl,2003.0,5,3,5,3,5,4,5,6,6,5,5,1,1,4,3,5.0,5,3,6,3,5,5,6,5,4,5,4,5,5,4,5,6,2,1,1.5,2
1618,Category 6: Day of Destruction,2004.0,4,6,10,3,3,2,4,5,5,4,3,2,2,4,5,5.0,5,4,5,5,3,3,5,5,3,5,3,5,4,5,4,5,5,1,2.5,3
1619,Wally Gator,2025.0,3,2,10,1,5,2,2,3,3,4,2,5,2,2,2,4.0,4,3,3,2,6,2,4,4,3,4,1,5,3,2,1,1,1,1,1.0,1
1620,The D-Generation,2018.0,5,4,14,1,3,3,5,5,5,5,3,1,1,2,1,3.0,3,3,1,3,5,4,5,5,4,6,1,5,3,1,1,1,1,1,1.0,1
1621,On Thursday We Leave for Home,2025.0,5,2,5,3,3,2,6,6,5,6,5,3,6,5,2,6.0,7,3,3,5,5,5,6,5,4,6,5,5,3,5,5,6,5,1,1.5,3
1623,E/R,1984.0,5,2,20,1,4,4,5,5,5,5,5,1,1,4,1,5.0,5,4,5,3,6,5,5,5,4,6,3,5,3,4,4,3,2,1,1.0,1
1624,The Roman Holidays,2025.0,3,3,10,1,4,3,4,5,5,5,2,3,1,5,3,5.0,5,3,3,3,5,2,5,5,4,5,2,5,3,3,2,2,2,1,1.0,1
1625,Observer Effect (Star Trek: Enterprise),2025.0,5,5,6,3,5,4,5,5,5,6,4,6,7,5,4,5.0,6,3,7,5,5,5,6,6,4,6,4,6,4,5,4,5,4,2,2.5,3
1626,After Pilkington,1987.0,5,2,5,3,4,2,5,5,5,5,4,2,1,2,3,5.0,5,3,5,5,5,5,5,5,4,5,3,6,4,4,4,5,3,1,1.5,2
1628,Timeless (Star Trek: Voyager),2025.0,5,5,6,1,4,4,5,6,5,5,3,6,7,5,3,6.0,6,4,7,5,5,5,6,5,4,6,4,6,4,5,4,5,4,4,3.5,3
1629,Check It Out! (Canadian TV series),1985.0,5,1,20,1,3,3,4,1,3,4,5,1,1,3,2,5.0,5,3,1,2,5,4,4,4,3,5,1,5,2,1,1,2,1,1,1.0,1
1630,Eddie Murphy Delirious,1983.0,5,1,2,3,3,5,5,1,3,3,3,1,1,1,1,3.0,3,4,1,1,5,2,5,5,4,6,1,5,3,1,1,1,2,1,1.0,1
1631,Wonder Woman (TV series),1975.0,5,1,5,5,5,5,5,6,5,5,3,6,5,5,4,6.0,6,4,6,3,5,4,6,5,4,5,3,5,5,5,4,5,5,1,1.5,2
1632,Committed (American TV series),2005.0,5,2,5,2,3,2,5,4,5,5,4,2,1,2,2,4.0,5,3,4,3,5,4,5,5,3,5,2,5,3,2,3,2,1,1,1.0,1
1633,Webster (TV series),1983.0,5,1,25,5,5,2,5,5,4,5,4,1,1,3,5,5.0,5,3,5,3,6,4,4,3,3,5,3,5,2,2,4,3,2,1,1.0,1
1634,Unhappily Ever After,1995.0,4,5,20,3,2,2,3,3,3,5,2,5,2,3,3,5.0,5,3,5,5,3,3,5,5,3,5,2,5,2,4,4,4,4,4,3.5,2
1635,Facets (Star Trek: Deep Space Nine),2025.0,5,1,10,5,5,4,6,6,6,7,3,7,7,5,3,6.0,7,4,7,5,5,6,6,6,4,6,4,6,4,4,5,6,4,4,2.5,2
1636,Let's Bowl,2025.0,5,3,10,1,3,2,3,1,3,4,3,1,1,2,3,4.0,4,3,3,5,5,3,5,5,3,5,1,5,1,2,1,1,1,1,1.0,1
1637,Ever Decreasing Circles,1984.0,5,3,10,1,2,2,6,5,3,6,6,1,1,3,3,5.0,5,3,6,3,6,5,5,3,4,5,4,5,2,2,5,4,1,1,1.0,2
1638,United (Star Trek: Enterprise),2025.0,5,5,10,3,4,4,5,5,5,5,5,6,6,5,3,6.0,6,4,6,5,5,5,5,5,4,6,4,5,5,5,4,3,5,1,1.5,3
1639,"Normal, Ohio",2025.0,4,1,10,5,3,2,4,3,4,4,4,1,1,2,2,3.0,4,3,1,3,4,3,4,3,3,4,2,5,2,2,2,2,1,1,1.0,1
1642,Captain Video and His Video Rangers,2022.0,3,2,10,1,3,3,3,3,3,4,2,5,5,5,3,4.0,5,3,5,3,5,3,5,5,3,4,2,5,4,4,2,1,3,1,1.0,1
1643,Papa Beaver's Storytime,1993.0,5,1,10,1,5,4,5,4,5,5,3,5,1,3,2,4.0,5,3,7,1,7,5,5,5,3,5,3,5,3,2,2,2,1,1,1.0,1
1644,Nathan Barley,2022.0,5,3,20,3,2,2,5,3,3,6,5,1,1,4,3,5.0,6,4,3,5,3,5,6,5,4,6,2,5,2,3,5,1,2,1,1.0,2
1645,Ruler of Your Own World,2002.0,5,3,10,3,3,2,6,5,5,5,5,1,1,3,3,5.0,5,3,3,4,5,5,5,5,3,5,4,5,2,4,4,5,4,1,1.5,2
1646,"Denver, the Last Dinosaur",2025.0,3,5,10,1,4,4,4,5,5,5,2,5,5,3,5,4.0,5,3,4,3,6,2,5,5,3,5,2,5,4,5,2,3,4,1,1.0,3
1647,Nightcrawlers (The Twilight Zone),2025.0,5,2,5,3,2,2,5,4,4,5,3,6,6,5,2,5.0,6,4,2,5,3,5,6,6,4,6,4,5,2,5,4,3,5,2,2.0,3
1648,3-South,2023.0,3,2,10,1,2,1,3,3,3,3,2,1,1,2,2,3.0,4,3,4,3,5,3,4,4,3,5,2,5,1,3,2,2,2,1,1.0,1
1649,Tekkaman: The Space Knight,2008.0,3,3,10,3,4,4,4,5,4,5,2,6,6,5,3,5.0,5,4,5,3,4,2,6,6,3,5,3,5,5,5,2,4,4,1,1.0,2
1650,The Sullivans,1976.0,5,3,20,4,5,4,5,5,5,5,5,1,1,4,4,5.0,5,3,5,5,3,5,5,5,3,5,4,5,4,5,3,6,5,1,1.5,2
1651,Jupiter Moon,2016.0,5,3,25,1,3,3,5,4,4,5,5,4,6,5,2,5.0,6,3,5,4,5,4,5,5,3,5,3,5,3,3,4,3,2,1,1.0,1
1652,Orleans (TV series),2025.0,5,1,10,4,3,2,5,4,4,4,4,1,1,3,2,5.0,5,3,1,5,4,4,4,4,3,4,2,2,3,4,5,3,4,1,1.5,1
1653,Aftershock: Earthquake in New York,1999.0,5,6,15,3,4,4,5,5,5,5,4,1,1,4,6,5.0,5,4,7,3,5,4,6,5,3,5,4,5,4,5,5,5,5,1,2.0,1
1654,Roger Ramjet,1965.0,2,1,20,1,3,2,3,3,2,4,1,7,5,5,3,4.0,5,3,7,2,5,2,5,5,3,5,1,5,3,5,1,1,1,1,1.0,1
1655,The New Adventures of Batman,2025.0,4,2,30,1,4,4,4,5,3,4,3,5,5,4,2,5.0,5,4,3,3,6,3,5,5,3,5,2,5,5,4,2,2,2,1,1.0,1
1656,Point Pleasant (TV series),2005.0,4,2,20,5,2,2,4,5,3,5,2,6,5,5,3,5.0,5,3,2,5,3,3,6,6,3,5,3,5,3,5,5,5,5,1,2.0,3
1657,Postcards from Buster,2004.0,6,1,30,5,5,4,5,4,5,5,6,1,1,5,5,6.0,6,3,7,2,6,6,6,5,4,5,3,5,4,4,2,2,1,1,1.0,1
1658,Vampire High,2001.0,4,5,10,5,4,3,5,5,5,5,2,6,5,5,2,5.0,5,3,4,3,5,3,5,5,4,5,3,5,3,4,5,5,4,1,1.5,2
1659,Uprising (2001 film),2025.0,6,4,10,5,4,3,6,7,5,6,7,1,1,5,3,6.0,7,3,5,3,4,6,7,6,4,6,5,5,4,5,5,5,5,1,1.5,3
1660,The New Yogi Bear Show,2025.0,3,4,5,1,3,3,3,3,3,4,2,3,1,3,1,5.0,5,3,5,2,6,3,4,4,3,4,1,5,3,2,2,1,2,1,1.0,1
1661,The Secret Service,1969.0,2,2,5,1,4,4,3,5,3,5,1,6,5,5,3,5.0,6,3,5,5,4,2,6,6,4,5,2,5,4,5,3,2,3,1,1.0,1
1662,Undergrads,2001.0,4,6,7,3,4,2,4,4,5,3,4,1,1,4,3,4.0,4,3,3,2,5,4,5,5,3,5,2,5,2,2,3,2,1,1,1.0,1
1663,Yogi's Gang,1973.0,3,4,20,1,4,3,3,4,3,4,2,6,1,4,3,4.0,5,3,5,2,5,2,5,5,3,5,1,5,3,4,2,2,1,1,1.0,2
1664,Dawn Anna,2005.0,5,1,10,5,5,3,6,6,6,6,5,1,1,1,3,4.0,3,3,3,3,5,6,6,3,4,5,5,6,3,4,4,6,5,2,2.0,3
1665,King Leonardo and His Short Subjects,2025.0,3,2,5,1,3,2,3,3,3,4,2,5,2,4,3,4.0,5,3,3,2,6,2,5,5,3,5,1,5,2,5,2,2,2,1,1.0,1
1666,Kate &amp; Allie,2013.0,5,2,10,5,5,4,6,5,6,6,5,1,1,2,3,5.0,5,3,4,3,6,5,5,4,4,6,3,5,4,3,4,4,1,1,1.5,1
1667,Major Dad,1989.0,5,3,10,5,4,4,5,4,5,5,5,1,1,3,2,5.0,5,3,5,3,5,5,4,3,3,5,2,5,4,3,4,4,1,1,1.5,1
1668,Shazzan,2025.0,3,3,5,1,3,3,3,4,4,4,1,7,5,5,3,5.0,5,3,3,3,5,2,5,5,3,5,2,5,4,5,2,2,4,1,1.0,1
1669,The Power Team (TV series),2008.0,3,5,8,1,3,3,2,3,3,3,2,5,4,5,3,4.0,4,3,3,3,4,3,4,5,3,3,1,5,4,4,1,2,2,1,1.0,1
