book_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
2828,Dark Passage (novel),1946.0,5,2,5,3,4,4,5,5,5,6,5,2,1,2,2,5,5,4,6,4,6,6,5,5,4,5,4,5,5,4,4,3,4,1,1,2
2829,Fear and Trembling (novel),1999.0,6,1,10,5,3,2,6,5,5,6,6,1,1,4,2,6,6,3,5,5,5,5,6,5,4,6,4,5,3,2,5,4,2,1,1,3
2830,Venus and the Seven Sexes,1949.0,5,2,7,4,3,3,5,4,3,5,3,7,7,5,1,6,6,3,5,5,5,3,6,6,4,5,3,5,4,4,4,5,3,4,4,3
2831,Malice Aforethought,1931.0,5,1,10,4,1,2,6,2,2,6,5,1,1,1,2,6,5,3,7,5,6,5,6,5,4,6,4,5,3,5,5,1,5,1,1,3
2832,The Iron Man (novel),1968.0,5,2,10,3,4,4,5,5,5,6,3,6,6,5,3,6,6,3,7,5,6,5,6,6,4,5,4,5,5,5,4,5,5,1,1,3
2833,Kafka on the Shore,,5,2,10,4,4,3,6,6,6,6,4,6,2,5,3,6,6,3,4,6,4,5,6,6,5,6,5,6,5,3,5,6,5,4,4,2
2834,Battlefield (Doctor Who),1991.0,5,4,10,3,4,4,5,5,5,5,4,6,6,5,5,6,6,4,6,5,5,5,6,5,4,5,4,5,5,5,3,5,5,1,1,2
2835,Dragon Prince,1988.0,5,2,20,4,3,4,5,5,5,5,4,6,5,5,5,6,6,4,7,5,5,5,5,5,4,5,4,5,5,5,5,5,5,2,1,3
2836,Tandia,1991.0,5,3,10,5,5,5,6,6,6,6,6,1,1,5,4,6,6,4,6,5,5,5,6,5,4,6,5,5,5,5,5,6,5,2,1,2
2837,The Prodigal Daughter,1982.0,5,2,20,4,4,4,5,6,5,5,5,1,1,4,3,6,5,4,6,5,5,5,5,5,4,5,4,5,5,5,5,6,2,2,2,3
2838,Farseer trilogy,1995.0,5,1,10,4,4,4,6,6,6,6,5,6,5,5,3,6,6,3,6,5,6,6,6,5,4,6,4,5,4,4,5,6,4,1,1,3
2839,Tawny Man trilogy,2001.0,6,3,10,4,4,4,6,6,6,6,5,6,5,5,3,6,6,3,5,5,6,6,6,6,5,6,5,6,4,4,5,5,4,1,1,3
2840,Legend (Gemmell novel),1984.0,5,2,20,4,4,5,6,6,5,6,5,5,2,5,1,6,6,4,6,5,6,5,6,5,4,6,4,6,5,5,4,5,4,4,1,3
2841,The Buccaneers,1870.0,5,5,20,4,4,4,5,5,4,6,6,2,1,4,3,6,6,3,5,4,6,5,5,5,4,6,4,5,4,4,4,4,2,1,1,2
2842,The Algerine Captive,,5,1,10,4,4,3,5,5,5,5,5,2,1,5,2,5,6,3,6,5,5,5,5,5,4,5,4,5,4,4,4,6,4,1,1,3
2843,Kane and Abel (novel),1979.0,5,2,20,5,4,5,6,6,5,6,5,1,1,5,6,6,5,4,7,5,6,6,6,5,4,5,5,5,5,5,5,6,5,2,1,3
2844,The Reign of Terror (Doctor Who),1987.0,5,4,20,3,4,4,5,5,5,5,5,1,1,5,3,6,6,4,7,5,6,5,6,5,4,5,4,5,5,5,4,3,5,1,1,3
2845,Extremely Loud &amp; Incredibly Close,2005.0,5,3,20,5,5,3,6,7,6,6,6,1,1,3,6,6,5,3,6,5,5,5,6,6,4,6,5,5,5,3,5,6,5,4,4,2
2846,Our Lady of the Flowers,1943.0,6,1,10,5,3,3,6,5,4,6,3,2,1,4,1,6,6,3,5,6,3,4,6,6,5,6,4,5,2,2,5,3,5,4,4,2
2847,Everything Is Illuminated,2002.0,6,3,10,5,4,4,6,6,5,6,5,3,1,5,2,6,6,3,5,5,5,5,6,6,4,6,4,6,5,4,5,5,4,4,4,2
2848,Planet of Giants,1990.0,5,4,6,3,4,4,5,5,5,5,5,6,6,5,3,6,6,3,7,5,6,5,6,5,4,5,4,5,5,5,3,2,4,1,1,3
2850,Islands in the Net,1988.0,5,1,20,4,4,4,6,5,5,5,5,5,6,5,5,6,6,4,5,6,5,5,6,6,4,5,4,5,5,5,5,6,5,1,1,3
2851,Forty Signs of Rain,2004.0,5,5,20,4,4,4,6,5,5,5,6,1,5,5,3,6,6,3,5,5,5,6,6,5,4,5,4,5,4,4,5,5,4,1,1,3
2852,Carnival of Monsters,1977.0,5,2,10,3,4,4,5,5,5,5,5,7,7,5,3,6,6,4,7,5,6,5,6,6,4,6,3,6,5,5,3,3,5,4,4,3
2853,The Green Death,1975.0,5,3,10,4,4,5,5,6,5,6,5,6,6,5,3,6,6,4,7,5,6,5,6,6,4,6,4,6,5,5,4,4,5,1,1,2
2854,The Talons of Weng-Chiang,1977.0,5,2,20,3,4,5,5,5,5,6,5,6,6,5,5,6,6,4,7,5,6,5,6,6,4,6,3,5,5,5,3,3,5,1,1,3
2855,The Ribos Operation,1979.0,5,2,15,3,4,5,5,5,5,6,5,6,6,5,1,6,6,4,7,5,6,6,6,6,4,6,4,5,5,5,3,2,3,1,1,3
2856,The Stones of Blood,1980.0,5,4,10,3,4,4,5,5,4,6,3,6,6,5,3,6,6,4,7,5,5,5,6,6,4,5,4,5,5,5,4,2,4,2,1,3
2857,The Androids of Tara,1980.0,5,3,10,3,4,4,5,5,5,5,4,6,6,5,2,6,6,4,7,4,6,5,5,5,4,5,3,5,4,5,3,2,4,1,1,3
2858,The Power of Kroll,1980.0,5,2,10,3,4,5,5,5,4,5,3,6,6,5,3,6,6,3,7,5,6,5,5,5,4,5,3,5,5,5,3,2,5,1,1,3
2859,The Leisure Hive,1982.0,5,3,20,3,4,4,5,5,5,5,5,6,6,5,1,6,6,4,6,5,6,5,6,6,4,5,3,5,4,5,4,3,3,1,1,3
2860,The Visitation (Doctor Who),1982.0,5,5,5,3,4,4,5,5,5,5,4,6,6,5,3,6,6,4,6,5,6,5,6,5,4,5,3,5,5,5,2,2,5,1,1,2
2861,Earthshock,1983.0,5,4,10,4,3,3,5,6,5,6,5,6,6,4,3,6,6,4,5,6,6,5,6,6,4,6,5,6,4,5,4,5,5,1,1,3
2862,Resurrection of the Daleks,2019.0,5,4,15,3,3,4,5,5,3,5,4,6,6,5,3,6,6,4,6,5,5,5,6,5,4,5,4,5,5,5,4,5,5,2,1,2
2863,Vengeance on Varos,1988.0,5,4,10,4,4,4,5,5,4,5,5,5,6,5,3,6,6,4,6,5,6,5,6,6,4,5,4,5,4,5,3,3,4,1,1,2
2864,Z for Zachariah,1974.0,6,2,5,4,4,4,6,6,5,6,6,1,6,5,2,6,6,3,6,6,6,5,6,5,4,6,4,6,4,4,5,6,5,1,1,3
2865,Green Mansions,1904.0,5,2,10,4,4,2,6,6,5,6,5,6,1,5,3,6,6,3,5,5,5,5,6,6,4,5,5,5,4,4,5,6,4,2,1,3
2866,Blade Runner 4: Eye and Talon,2000.0,6,1,20,5,4,4,6,6,6,6,6,5,7,5,4,6,6,3,6,5,5,6,6,6,4,6,5,5,4,4,5,6,4,2,1,2
2867,Mr Standfast,1919.0,5,1,20,4,4,5,6,5,5,5,5,3,1,5,5,6,6,4,5,3,6,5,5,5,4,6,3,5,5,5,4,5,4,1,1,3
2868,Limes inferior,1982.0,5,1,20,4,3,4,5,5,5,5,5,6,6,5,3,6,6,3,5,5,5,5,5,5,4,5,4,5,4,4,5,5,4,2,1,3
2869,The Commodore (Forester novel),1945.0,5,1,10,3,4,5,6,6,5,6,6,1,1,5,5,6,6,3,6,5,6,6,5,5,4,5,4,6,5,5,3,4,4,1,1,2
2870,Lord Hornblower,1946.0,6,1,10,4,4,5,6,6,5,6,6,1,1,5,3,6,6,4,7,5,6,6,6,5,4,6,4,5,5,5,4,5,4,1,1,3
2871,The Thirteen-Gun Salute,1989.0,6,2,20,4,4,4,6,5,5,6,6,5,1,5,6,6,6,3,6,5,5,5,6,5,4,6,4,5,4,5,4,5,3,1,1,2
2872,The Book of Daniel (novel),1971.0,5,1,10,5,4,3,6,6,5,6,5,1,1,3,4,6,5,4,5,5,4,5,5,5,4,5,5,5,4,2,5,6,4,4,4,2
2873,Nectar in a Sieve,1954.0,6,1,15,5,5,4,6,7,6,6,6,1,1,3,3,6,6,3,5,5,6,6,6,5,4,5,5,6,5,4,5,6,2,2,1,3
2874,Last Exit to Brooklyn,1964.0,6,6,20,5,2,2,6,5,3,6,6,1,1,5,1,6,6,3,3,5,3,5,6,6,4,6,5,5,2,2,5,2,5,4,4,1
2876,Warriors' Gate,1982.0,5,4,10,4,4,4,5,5,5,5,5,6,6,5,3,6,6,4,7,5,6,5,6,6,4,6,4,5,4,4,4,6,4,2,1,2
2877,Frontier in Space,1976.0,5,2,10,3,4,4,6,6,5,5,5,6,6,5,4,6,6,3,7,5,6,5,5,5,4,5,4,5,5,5,4,3,4,1,1,3
2878,A Lesson Before Dying,1993.0,6,2,10,5,4,4,6,6,6,6,6,1,1,4,2,6,6,3,5,5,6,6,6,5,5,6,5,6,4,3,5,6,4,1,1,2
2879,"20,000 Streets Under the Sky",1929.0,6,3,10,4,3,2,6,5,5,6,6,1,1,3,3,6,6,3,5,3,6,6,6,5,4,6,4,5,2,3,5,3,3,2,2,3
2880,"I, Jedi",1998.0,5,1,15,4,4,5,6,6,5,6,5,6,7,5,3,6,6,4,7,4,6,5,5,5,4,6,4,5,5,5,4,6,4,1,1,3
2881,The Tale of Cross-eyed Lefty from Tula and the Steel Flea,1881.0,5,2,10,4,3,3,5,5,5,5,5,5,3,5,2,6,6,3,5,5,5,5,6,6,4,5,4,5,4,4,4,5,3,1,1,3
2882,Runaway Horses,1969.0,5,2,5,4,3,4,6,6,4,6,6,1,1,5,2,6,6,3,5,5,5,5,6,5,4,5,4,5,5,4,5,5,4,1,1,3
2883,The Eleventh Commandment (novel),1998.0,5,2,10,3,2,3,5,4,3,5,5,1,1,3,3,5,5,4,4,5,5,5,5,5,4,5,3,5,4,5,3,3,5,1,1,2
2884,The Brain of Morbius,1977.0,5,2,10,3,4,4,5,5,4,5,3,6,6,5,3,6,6,3,7,5,5,5,6,5,4,6,4,6,4,5,3,3,4,2,1,3
2885,Coalescent,2003.0,5,2,20,3,3,4,5,5,5,6,5,6,6,5,4,6,6,3,6,5,5,5,5,5,4,5,4,5,4,4,4,5,2,4,4,2
2886,The Android Invasion,1978.0,5,2,10,3,4,5,5,5,5,5,3,6,6,5,3,6,6,4,7,5,6,5,5,5,4,5,3,5,5,5,3,3,5,1,1,3
2887,The Seeds of Doom,1977.0,5,4,10,3,4,4,5,5,5,5,3,6,6,5,2,6,6,4,7,5,6,5,6,6,4,6,4,6,5,5,3,2,5,1,1,3
2888,Planet of Evil,1977.0,5,3,10,3,4,5,5,5,4,5,4,6,6,5,1,6,6,4,7,5,6,5,6,5,4,5,3,5,5,5,3,3,4,1,1,2
2889,Terror of the Zygons,1976.0,5,3,10,3,4,5,5,5,5,6,5,6,6,5,3,6,6,4,7,5,6,5,6,6,4,6,3,6,5,5,3,2,4,1,1,2
2890,Revenge of the Cybermen,1976.0,5,3,10,3,4,4,5,5,5,5,5,6,6,5,3,6,6,4,7,5,6,5,5,5,4,5,3,5,5,5,3,2,4,1,1,3
2891,The Hand of Fear,,5,3,10,3,3,3,5,5,4,5,5,6,6,4,3,6,6,4,6,5,6,5,6,5,4,5,4,5,4,5,4,3,4,2,1,2
2892,The Face of Evil,1978.0,5,2,10,4,4,4,6,5,5,6,5,6,6,5,3,6,6,4,7,5,6,5,6,6,4,6,4,5,5,5,4,5,4,1,1,2
2893,Number the Stars,1989.0,6,2,10,5,5,5,6,6,6,6,6,1,1,5,3,6,6,3,7,5,7,6,6,5,5,6,5,6,5,5,5,5,5,1,1,3
2894,Revelation of the Daleks,2019.0,5,4,15,3,4,4,5,5,4,5,5,6,7,5,3,6,6,4,7,5,5,5,6,6,4,5,4,5,4,5,4,3,5,1,1,3
2895,Timelash,1985.0,5,3,10,3,4,4,5,5,5,4,4,6,7,4,3,5,5,3,7,5,5,5,5,5,4,5,3,5,5,5,4,5,4,2,4,3
2896,Dragonfire (Doctor Who),1989.0,5,4,10,3,4,4,5,5,5,5,4,6,6,5,3,6,6,4,7,5,6,5,5,5,4,5,3,5,4,5,3,3,4,2,1,3
2897,The Happiness Patrol,1990.0,5,3,10,4,4,4,5,5,5,6,5,6,6,5,3,6,6,4,7,5,6,5,6,6,4,6,4,5,5,5,4,4,4,1,1,3
2898,The Greatest Show in the Galaxy,1989.0,5,4,20,3,4,5,5,5,5,6,4,6,6,5,1,6,6,4,7,5,5,5,6,6,4,6,4,5,5,5,4,5,4,4,1,3
2899,Night on the Galactic Railroad,1934.0,5,2,10,4,4,3,6,6,6,6,3,6,6,5,5,6,6,3,5,5,6,5,6,6,4,5,5,6,4,3,5,5,3,2,1,3
2900,Cosmopolis (novel),2003.0,5,1,15,3,2,2,5,4,2,6,5,2,2,5,3,6,6,3,5,5,4,4,6,6,4,5,3,5,3,4,4,2,4,2,1,2
2901,The Claws of Axos,1977.0,5,2,10,3,4,5,5,5,5,5,2,6,6,5,3,6,6,4,7,5,6,4,5,6,4,5,3,5,5,5,3,3,4,2,1,2
2902,The Duplicate,1988.0,5,1,10,3,4,2,5,5,5,5,3,6,6,4,2,5,5,4,5,5,6,5,5,5,4,5,3,5,4,4,4,5,4,1,1,2
2903,Free Air,1919.0,5,2,10,4,4,4,5,5,5,6,5,1,1,5,2,6,6,3,6,3,6,5,5,5,4,5,3,5,5,4,4,5,1,1,1,2
2904,The Rescue (Doctor Who),1987.0,5,3,5,3,4,4,5,5,5,5,5,5,5,5,3,6,6,3,7,5,6,5,5,5,4,5,4,5,4,5,4,5,4,1,1,3
2905,The Romans (Doctor Who),1987.0,5,4,15,3,4,4,5,5,4,5,5,5,5,5,3,6,6,3,7,5,6,5,6,5,4,5,4,5,5,5,3,4,4,1,1,2
2906,How Much Land Does a Man Need?,1886.0,5,1,10,5,2,3,6,5,5,6,5,1,1,4,3,6,5,3,7,5,6,6,5,5,4,5,5,5,5,4,5,5,5,1,1,3
2907,Solomon Gursky Was Here,1989.0,5,3,20,4,3,2,6,5,5,6,5,2,1,5,4,6,6,3,4,5,4,5,5,6,4,6,4,5,2,2,5,5,3,4,4,1
2908,Paul Clifford,1830.0,5,1,10,3,4,4,5,5,5,5,5,3,1,4,3,5,5,3,6,5,6,4,5,5,4,5,4,5,4,5,4,5,4,1,1,3
2909,Scarecrow (novel),2003.0,5,1,15,3,4,5,5,6,5,5,5,3,5,5,5,6,6,4,7,6,6,4,6,5,4,5,3,5,5,5,3,5,5,2,1,3
2910,Anvil of Stars,1992.0,5,2,10,4,3,3,5,5,5,6,5,6,7,5,2,6,6,3,5,5,5,5,6,5,4,5,4,5,4,4,5,6,3,2,2,3
2911,The Drowned World,1962.0,5,3,10,4,3,3,6,6,5,6,6,7,7,5,5,7,6,3,5,5,5,6,6,6,4,5,4,5,5,4,5,6,4,1,1,3
2912,Image of the Fendahl,1979.0,5,4,10,3,4,5,5,5,5,5,4,6,6,5,3,6,6,4,7,5,5,5,6,6,4,5,4,5,5,5,3,3,5,2,1,3
2913,The Invisible Enemy (Doctor Who),1979.0,5,2,10,3,4,5,5,5,5,5,4,6,6,5,3,6,6,4,7,4,6,5,5,5,4,6,3,5,5,5,3,3,4,1,1,3
2914,The Keeper of Traken,1982.0,5,3,10,3,3,4,5,5,4,5,5,6,6,5,3,6,6,3,5,5,6,5,6,5,4,5,4,5,4,4,3,3,4,2,1,3
2915,The Sun Makers,1982.0,5,3,10,4,4,4,5,6,5,6,5,6,6,5,5,6,6,4,7,5,6,6,6,5,4,6,4,5,5,5,3,5,5,1,1,3
2916,Planet of Fire,1985.0,5,3,10,4,4,4,5,5,5,5,4,6,6,5,3,6,6,3,7,5,6,5,6,5,4,5,4,5,5,5,5,5,4,1,1,2
2917,Underworld (Doctor Who),1980.0,5,3,10,4,4,5,5,5,5,5,4,6,7,5,3,6,6,4,7,5,6,5,5,5,4,5,4,5,5,5,4,3,4,1,1,3
2918,The Crusade (Doctor Who),1966.0,5,4,15,3,4,4,5,5,5,5,5,3,1,5,3,6,6,4,7,5,6,5,6,5,4,6,3,5,5,5,3,3,5,1,1,3
2919,The Space Museum,1987.0,5,4,15,4,4,4,5,5,5,5,5,6,6,5,1,6,6,3,7,5,5,5,6,6,4,5,4,5,5,5,4,4,4,1,1,3
2920,The Chase (Doctor Who),1989.0,5,4,10,4,4,4,5,5,5,5,2,7,7,5,5,6,6,4,6,5,5,5,6,6,4,5,4,5,4,5,3,3,5,4,1,1
2921,Meglos,1983.0,5,4,20,3,4,4,5,5,5,5,3,6,6,5,2,5,6,3,7,3,5,4,5,5,4,5,3,5,5,5,4,3,4,1,1,2
2922,Full Circle (Doctor Who),1982.0,5,3,10,3,4,4,5,5,4,5,5,6,6,5,3,6,6,4,6,5,5,5,6,6,4,5,4,5,4,5,4,3,4,2,1,2
2923,Four to Doomsday,1983.0,5,4,20,3,4,4,5,5,4,5,5,6,6,5,4,6,6,4,6,5,6,5,5,6,4,5,3,5,5,5,4,5,4,1,1,3
2925,Promise of the Witch-King,2005.0,5,2,20,4,3,5,5,5,5,6,5,6,5,5,3,6,6,4,5,5,6,5,6,5,4,6,3,5,5,5,4,3,4,1,1,3
2926,Thud!,2005.0,6,5,20,4,4,4,6,6,5,6,5,6,5,5,5,6,6,4,7,5,6,6,6,6,4,6,4,5,5,5,5,5,5,1,1,3
2927,The Warlord of Mars,1913.0,3,1,20,4,4,5,5,6,3,5,2,7,6,5,5,6,6,4,7,5,6,4,6,5,4,5,4,5,5,5,3,3,5,1,1,3
2928,Turnabout (Haddix novel),,5,2,10,4,4,4,5,6,5,6,4,5,6,4,2,6,6,4,7,5,6,5,5,5,4,5,4,5,4,4,5,5,4,4,1,3
2929,Rusalka (novel),1989.0,5,3,15,4,4,4,6,6,5,6,5,6,5,5,3,6,6,3,7,5,6,5,6,6,4,5,4,5,4,4,5,5,4,1,1,3
2930,Rainbow Valley,1919.0,5,6,12,4,4,4,6,6,5,6,5,1,1,5,1,6,6,3,7,3,7,5,5,5,4,6,4,5,4,4,4,5,1,1,1,2
2931,Don Juan (poem),1819.0,5,2,10,3,3,4,5,4,4,5,5,2,1,4,1,6,6,3,5,3,6,4,6,5,4,6,4,5,4,4,4,2,4,1,1,2
2932,The Bluest Eye,1970.0,6,3,10,5,4,1,7,7,6,7,6,1,1,5,1,6,6,3,1,6,5,6,6,6,4,6,5,6,1,2,5,7,5,4,4,3
2933,A Legend of Old Egypt,1888.0,5,2,10,3,4,3,5,5,5,5,4,5,1,5,2,6,6,3,5,5,5,5,6,5,4,5,4,5,4,4,4,5,5,1,1,3
2934,Chernevog,1990.0,5,3,10,4,3,4,6,5,5,6,3,6,6,5,3,6,6,3,6,6,5,5,6,6,4,6,4,5,4,5,5,5,4,4,1,3
2935,Yvgenie,1991.0,5,4,10,4,4,4,5,6,5,6,3,6,6,5,3,6,6,3,7,5,5,5,6,5,4,6,4,5,5,5,5,5,4,4,2,3
2936,The Ark (Doctor Who),1986.0,5,3,10,3,4,5,5,5,5,5,5,6,6,5,1,6,6,4,6,5,6,5,6,6,4,5,4,5,5,5,4,3,5,2,2,3
2937,The Valley of Horses,1982.0,5,2,10,4,5,5,6,6,6,6,6,5,1,5,3,6,6,3,6,5,6,6,6,6,4,5,4,5,5,4,5,6,4,2,1,3
2938,Tiger Eyes,1981.0,5,3,15,4,4,4,6,6,6,6,6,1,1,1,2,6,5,3,7,5,6,6,6,5,4,5,5,5,4,3,5,7,5,2,1,2
2939,The Mammoth Hunters,1985.0,5,3,20,4,5,5,6,6,6,6,5,5,2,5,1,6,6,3,6,4,6,5,6,6,4,5,4,5,5,4,5,5,2,1,1,2
2940,Eine Billion Dollar,2001.0,5,1,10,4,4,4,5,5,5,5,4,3,5,4,3,6,6,4,5,5,6,4,5,5,4,5,4,5,5,5,4,5,4,4,1,3
2941,"Mister God, This Is Anna",1974.0,6,2,5,5,5,5,6,7,6,6,5,1,1,3,1,6,6,3,6,5,6,5,6,5,5,6,5,6,5,2,5,6,4,1,1,3
2942,The Time Meddler,1987.0,5,3,10,3,4,4,5,5,5,6,5,6,6,5,3,6,6,4,7,5,6,5,6,5,4,6,3,5,4,5,3,2,3,1,1,3
2943,Identity (novel),1998.0,5,2,5,5,4,3,6,6,6,6,5,1,1,3,1,6,5,3,6,5,6,6,6,6,4,5,4,5,3,2,5,5,3,1,1,2
2944,Galaxy 4,1985.0,5,3,10,3,4,5,5,5,5,5,4,6,7,5,3,6,6,3,6,5,6,5,5,5,4,5,3,5,5,5,3,2,4,1,1,3
2945,The Plains of Passage,1990.0,5,2,20,4,4,5,6,6,5,6,5,4,1,5,3,6,6,3,7,3,6,6,6,5,4,5,4,5,5,4,4,5,2,1,1,2
2946,The Shelters of Stone,2002.0,5,2,20,4,4,5,6,6,5,6,6,5,1,5,1,6,6,3,6,5,6,5,6,5,4,5,4,5,5,4,5,6,2,1,1,2
2947,Woken Furies,2005.0,5,3,15,4,4,4,6,6,5,6,5,6,7,5,5,6,6,4,5,6,5,5,6,6,4,6,4,5,5,5,5,5,5,4,1,2
2948,The Long Journey,1908.0,5,4,10,4,4,5,5,6,5,6,5,6,5,5,4,6,6,3,6,5,5,5,6,6,4,5,4,5,5,5,5,7,5,4,1,2
2949,The Great Train Robbery (novel),1975.0,6,4,20,3,3,5,6,5,5,6,6,1,1,5,3,6,6,4,5,5,6,6,6,5,4,6,4,6,5,5,4,2,5,2,1,3
2950,Random Hearts (novel),1984.0,5,2,10,4,4,4,5,5,5,6,5,1,1,2,2,5,4,3,5,5,6,5,5,5,4,5,4,5,4,4,5,5,5,1,1,2
2951,Father Sergius,1911.0,5,2,5,4,4,3,6,6,5,6,5,1,1,3,3,6,6,3,5,5,6,5,6,5,4,5,4,5,4,3,5,5,4,2,1,2
2952,And to Think That I Saw It on Mulberry Street,1937.0,1,1,5,3,4,4,4,5,5,5,1,7,1,5,1,6,6,3,5,5,7,2,6,6,4,5,3,5,4,2,2,2,2,1,1,2
2953,Shampoo Planet,1992.0,5,1,10,3,3,3,5,5,5,5,5,1,1,4,1,5,5,3,5,3,6,5,5,5,4,5,3,5,3,3,4,3,3,1,1,1
2954,An American Dream (novel),1965.0,5,1,10,4,1,2,5,4,2,6,5,2,1,4,3,6,6,4,3,5,5,4,6,5,4,5,4,5,5,4,5,5,5,1,1,3
2955,The Last of the Masters,1954.0,5,1,5,4,3,4,5,5,2,6,5,5,6,5,1,6,6,3,5,5,5,5,6,6,4,5,4,5,4,3,5,5,4,1,1,2
2956,Black Orchid (Doctor Who),1986.0,5,3,10,3,4,5,5,5,4,5,5,5,3,5,3,6,6,3,6,5,6,5,5,5,4,5,3,5,4,5,3,3,4,1,1,2
2958,The Myth Makers,1985.0,5,4,20,3,4,4,5,5,4,5,4,6,5,5,3,6,6,4,7,5,6,5,6,5,4,6,4,5,4,5,3,3,4,1,1,3
2959,The Family from One End Street,1937.0,6,6,15,4,4,3,6,5,6,6,6,1,1,4,6,6,6,3,7,3,6,6,5,5,4,5,4,5,4,4,4,2,2,1,1,1
2960,Strange Eden,1954.0,5,2,5,4,2,3,5,4,3,4,5,6,6,5,2,6,6,3,5,6,5,5,6,6,3,5,4,5,4,4,5,6,5,2,2,3
2961,The Belonging Kind,1981.0,5,2,5,4,2,2,5,4,4,5,5,5,6,4,2,6,5,3,5,6,6,5,5,5,4,6,4,5,4,4,5,6,5,1,1,3
2962,Of a Boy,2002.0,6,1,10,4,4,2,6,6,6,6,6,2,1,3,2,6,5,3,2,5,5,5,6,5,4,5,4,5,3,4,5,3,4,1,1,3
2963,Cold Sassy Tree,1984.0,6,3,20,4,4,4,6,6,6,6,6,1,1,4,1,6,6,3,6,5,6,6,6,5,4,6,4,5,4,4,5,5,4,1,1,3
2964,The Lost Honour of Katharina Blum,1974.0,6,1,10,5,4,3,6,6,6,6,6,1,1,3,2,6,5,3,5,5,6,6,6,5,4,6,5,6,4,4,5,6,5,1,1,3
2965,Voyage in the Dark,1934.0,5,1,10,5,3,2,6,5,5,5,5,1,1,3,2,5,5,3,5,5,6,5,5,5,4,5,4,5,3,2,5,5,3,1,1,3
2966,The Story of Doctor Dolittle,1920.0,5,1,15,3,4,4,5,6,5,6,3,6,3,5,5,6,6,3,7,5,6,3,6,5,4,5,4,5,5,5,4,5,3,1,1,3
2967,Absolute Friends,2003.0,5,2,10,4,3,2,5,5,5,6,5,1,1,4,3,6,5,3,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,4,4,3
2968,Shiloh (Naylor novel),1991.0,5,1,10,4,5,4,6,6,6,6,6,1,1,4,1,6,6,3,7,5,7,6,5,5,4,5,4,5,5,3,5,5,3,1,1,3
2969,We All Fall Down (Cormier novel),1991.0,5,2,15,4,3,3,5,5,5,5,5,1,1,3,2,6,5,3,5,5,5,5,6,5,4,5,4,5,4,4,4,4,5,2,1,3
2970,The Glass Lake,1994.0,5,2,7,4,4,3,6,6,5,6,5,1,1,3,2,5,5,3,6,5,5,5,5,5,4,5,4,5,3,2,5,5,4,2,1,3
2971,Sharpe's Regiment,1986.0,6,1,20,4,4,5,6,6,5,6,6,1,1,5,3,6,6,4,7,5,6,6,6,5,4,6,4,5,5,5,4,5,4,1,1,3
2972,The Voyages of Doctor Dolittle,1922.0,5,6,20,3,4,5,5,5,5,6,2,7,5,5,6,6,6,3,7,5,7,4,6,6,4,6,4,5,5,5,3,5,2,1,1,1
2973,Among the Hidden,1998.0,5,2,10,5,4,3,6,6,6,6,5,1,6,5,3,6,6,4,6,5,6,6,6,5,4,6,4,5,3,4,5,6,5,1,1,3
2974,Moon Tiger,1987.0,5,2,15,5,4,4,6,6,5,6,5,1,1,3,3,6,6,3,7,5,5,6,6,6,4,6,5,6,5,2,5,6,4,4,4,2
2975,The Abominable Snowmen,1974.0,5,4,15,3,4,5,5,5,5,5,3,6,6,5,3,6,6,3,7,5,6,5,6,5,4,5,3,5,5,5,3,3,5,1,1,3
